都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
11011,110410545,北海道,札幌市中央区,慈啓会病院　（訪問リハビリテーション）,ジケイカイビョウイン　（ホウモンリハビリテーション）,訪問リハビリテーション,札幌市中央区旭ヶ丘5丁目6番50号,,43.036925700000000,141.323191700000000,011-561-8292,011-551-3862,,札幌慈啓会,110410545,平日,月曜・水曜のみ実施,,http://www.sapporojikeikai.or.jp/,,,,
12025,111415188,北海道,函館市,医療法人大庚会　訪問リハビリテーション事業所今整形外科,イリョウホウジンタイコウカイ　ホウモンリハビリテーションジギョウショコンセイケイゲカ,訪問リハビリテーション,北海道函館市本町30番36号,,41.787581200000000,140.753804900000000,0138-52-7551,0138-35-5385,,医療法人大庚会,111415188,平日.土曜日,なし,,http://www.kon-jp.com/,,,,
15148,116711094,北海道,枝幸町,枝幸町国民健康保険病院,エサシチョウコクミンケンコウホケンビョウイン,訪問リハビリテーション,北海道枝幸郡枝幸町北栄町１４７４番地１,,44.943149100000000,142.575786000000000,0163ー62ー2111,0163ー62ー2532,,枝幸町国民健康保険病院,116711094,平日,特になし,,http://esashi-hospital.jp/,,,,
11061,110510666,北海道,札幌市南区,医療法人　一仁会　南札幌脳神経外科,イリョウホウジン　イチジンカイ　ミナミサッポロノウシンケイゲカ,訪問リハビリテーション,北海道札幌市南区川沿2条3丁目2番32号,,43.000115500000000,141.331320900000000,011-572-0330,011-572-2151,,医療法人　一仁会　南札幌脳神経外科,110510666,平日,,0,msnsc.jp,,,,
12173,111013629,北海道,江別市,医療法人はるにれ北町クリニック,イリョウホウジンハルニレキタマチクリニック,訪問リハビリテーション,北海道江別市大麻北町607番地2,,43.089178100000000,141.499348400000000,011-386-2160,011-386-2180,,医療法人はるにれ,111013629,平日,-,0,http://www.irryo-harunire.or.jp,,,,
11011,110117702,北海道,札幌市中央区,南札幌病院　訪問リハビリテーション,ミナミサッポロビョウインホウモンリハビリテーション,訪問リハビリテーション,札幌市中央区南9条西7丁目1番23号,,43.048305600000000,141.348308200000000,011-511-3368,011-511-1862,,医療法人社団　清和会　南札幌病院,110117702,平日,,0,http://www.minamisapporo.or.jp,,,,
16659,114311327,北海道,弟子屈町,訪問リハビリステーション,ホウモンリハビリステーション,訪問リハビリテーション,川上郡弟子屈町湯の島３丁目１番５号,,43.489352900000000,144.453024000000000,015-482-7667,015-482-7670,,医療法人社団信診連,114311327,平日,,,http://www.sinsinren.or.jp/,,,,
11037,110214350,北海道,札幌市東区,医療法人社団英仁会　札苗病院,イリョウホウジンシャダンエイジンカイ　サツナエビョウイン,訪問リハビリテーション,北海道札幌市東区東苗穂７条２丁目８番２０号,,43.094838100000000,141.412755300000000,011-783-3311,011-783-3343,,医療法人社団英仁会,110214350,平日.土曜日,-,0,http://satsunae-hp.jp/,,,,
11070,110416518,北海道,札幌市西区,平和リハビリテーション病院,ヘイワリハビリテーションビョウイン,訪問リハビリテーション,北海道札幌市西区平和３０６番地1,,43.056040000000000,141.242871800000000,011-662-1771,011-662-1779,,医療法人社団静和会,110416518,平日.土曜日,,0,http://www.seiwa-kai.or.jp/heiwa-reha,,,,
11061,110511177,北海道,札幌市南区,もなみクリニック,モナミクリニック,訪問リハビリテーション,北海道札幌市南区川沿5条3丁目2-1,,42.992549700000000,141.331571100000000,011-578-5775,011-578-5776,,医療法人社団もなみ,110511177,平日.土曜日,火曜日・木曜日は15時までの営業時間訪問看護・リハビリ・訪問診療の時間は要相談,0,http://www.monami-cl.com/,,,,
11029,110218138,北海道,札幌市北区,医療法人社団北昂会ファミール内科　在宅医療センター,イリョウホウジンシャダンホッコウカイファミールナイカ　ザイタクイリョウセンター,訪問リハビリテーション,北海道札幌市北区北２９条西４丁目２番１－１５８ファミール札幌,ファミール札幌,43.096440368495700,141.342835388361000,011-746-3988,011-746-6722,8430005002024,医療法人社団北昂会ファミール内科,110218138,平日,,0,http://www.hokkoukai.com,,,,
11029,110219052,北海道,札幌市北区,医療法人訪友会　さっぽろ在宅医療クリニック,イリョウホウジンホウユウカイ　サッポロザイタクイリョウクリニック,訪問リハビリテーション,札幌市北区北37条西4丁目2-6　マンションブリッジ麻生橋元ビル1Ｆ,,43.104776300000000,141.339541700000000,011-708-3330,011-708-3331,,訪友会,110219052,平日,,38,http://www.spzaitaku.com/,,,,
11029,110213329,北海道,札幌市北区,医療法人社団札幌優翔館病院,イリョウホウジンシャダン　サッポロユウショウカンビョウイン,訪問リハビリテーション,北海道札幌市北区東茨戸２条２丁目８番２５号,,43.164768800000000,141.357989300000000,011-772-9211,011-772-9213,,医療法人社団札幌優翔館病院,110213329,平日.土曜日.祝日,,0,http://www.shoureikan.jp/yuushoukan/,,,,
11037,110219524,北海道,札幌市東区,札幌共立医院　訪問リハビリ事業所,サッポロキョウリツイイン　ホウモンリハビリジギョウショ,訪問リハビリテーション,北海道札幌市東区北48条東1丁目1番5号,,43.117582800000000,141.344471000000000,011-752-4101,011-752-4231,,医療法人為久会,110219524,平日,,50,http://www.sapkyo-hosp.jp,,,,
11037,110219243,北海道,札幌市東区,医療法人　北海道家庭医療学センター　栄町ファミリークリニック,イリョウホウジン　ホッカイドウカテイイリョウガクセンター　サカエマチファミリークリニック,訪問リハビリテーション,北海道札幌市東区北４１条東１５丁目１－１８,,43.112553700000000,141.365330600000000,011-723-8633,011-722-9387,,北海道家庭医療学センター,110219243,平日,水曜日午後は利用できません。,0,http://sakaemachi-fc.com/,,,,
11070,110415247,北海道,札幌市西区,医療法人　知仁会　八木整形外科病院,イリョウホウジン　チジンカイ　ヤギセイケイゲカビョウイン,訪問リハビリテーション,札幌市西区西野３条５丁目１番３５号,,43.077079700000000,141.277937600000000,011-663-3100,011-663-3883,,医療法人　知仁会　八木整形外科病院,110415247,平日,,30,http://www.yamanotedori.net/,,,,
11045,110513611,北海道,札幌市白石区,医療法人社団明日佳　白石明日佳病院,イリョウホウジンシャダンアスカ　シロイシアスカビョウイン,訪問リハビリテーション,北海道札幌市白石区東札幌5条5丁目2番5号,,43.050875600000000,141.394707000000000,011-823-5151,011-823-8290,1430005001734,医療法人社団明日佳,110513611,平日,,0,http://www.asuka-gp.or.jp/shiroishi/,,,,
11088,110514007,北海道,札幌市厚別区,医療法人　札幌徳洲会病院,サッポロトクシュウカイビョウイン,訪問リハビリテーション,北海道札幌市厚別区大谷地東1丁目1番1号,,43.029266100000000,141.447922600000000,011-890-1110,011-890-2202,1120005005403,医療法人　徳洲会,110514007,平日,,0,http://www2.satutoku.jp/,,,,
11088,150380087,北海道,札幌市厚別区,介護老人保健施設あつべつ,カイゴロウジンホケンシセツアツベツ,訪問リハビリテーション,札幌市厚別区厚別町山本750番地6号,,43.058543900000000,141.462566900000000,011-896-5020,011-896-5055,7430005000540,社会福祉法人栄和会,150380087,平日,なし,0,http://www.eiwakai.or.jp/,,,,
12181,117210054,北海道,赤平市,あかびら市立病院,アカビラシリツビョウイン,訪問リハビリテーション,北海道赤平市本町３丁目２番地,,37.109286500000000,138.244514400000000,0125-32-3211,0125-32-1141,,赤平市,117210054,平日,,0,http://akabira-hospital.jp/,,,,
16411,114711559,北海道,大樹町,大樹町立国民健康保険病院,タイキチョウリツコクミンケンコウホケンビョウイン,訪問リハビリテーション,北海道広尾郡大樹町暁町6番地2,,42.487888400000000,143.279769800000000,01558-6-3111,01558-6-3796,,大樹町,114711559,平日,,0,http://www.town.taiki.hokkaido.jp/soshiki/byouin/byouintop.html,,,,
12041,152980082,北海道,旭川市,老人保健施設かたくりの郷,ロウジンホケンシセツカタクリノサト,訪問リハビリテーション,北海道旭川市神楽３条４丁目２番１４号,,43.762224800000000,142.348051700000000,0166-63-1165,0166-62-7997,,医療法人道北勤労者医療協会,152980082,平日.土曜日,,,http://www.dohoku-kinikyo.or.jp,,,,
12122,156480022,北海道,留萌市,医療法人社団心優会訪問リハビリテーション季実の杜,イリョウホウジンシャダンシンユウカイホウモンリハビリテーションキミノモリ,訪問リハビリテーション,留萌市開運町１丁目５番１号,,43.940317700000000,141.648216900000000,0164-43-4400,0164-43-4407,,医療法人社団心優会,156480022,平日,,,,,,,
12319,111210563,北海道,恵庭市,恵庭南病院　訪問リハビリテーション,エニワミナミビョウイン　ホウモンリハビリテーション,訪問リハビリテーション,北海道恵庭市住吉町２丁目４－１４,,42.877354300000000,141.582820500000000,0123-32-3850,0123-32-1627,,医療法人社団　恵庭南病院,111210563,平日,-,,http://www.north-wind.ne.jp/~eniwa373/,,,,
16012,153880042,北海道,日高町,日高町立介護老人保健施設門別愛生苑,ヒダカチョウリツカイゴロウジンホケンシセツモンベツアイセイエン,訪問リハビリテーション,北海道沙流郡日高町門別本町29番地3,,42.480201100000000,142.069039700000000,01456-2-6611,01456-2-6600,,日高町立介護老人保健施設門別愛生苑,153880042,平日,,0,,,,,
13935,152180014,北海道,黒松内町,介護老人保健施設　湯の里・黒松内訪問リハビリテーション,カイゴロウジンホケンシセツ　ユノサト・クロマツナイホウモンリハビリテーション,訪問リハビリテーション,北海道寿都郡黒松内町字黒松内565-11,,42.657696200000000,140.312945400000000,0136-77-2120,0136-77-2080,5440005002190,社会福祉法人　黒松内つくし園,152180014,平日.祝日,営業時間は、月曜日から金曜日までとなります（祝日実施）,0,http://tsukushien.or.jp,,,,
15431,155280019,北海道,美幌町,社会医療法人恵和会　介護老人保健施設アメニティ美幌,シャカイイリョウホウジンケイワカイ　カイゴロウジンホケンシセツアメニティビホロ,訪問リハビリテーション,北海道網走郡美幌町字仲町二丁目三十八番地の二,,43.832639200000000,144.105174700000000,0152-75-2210,0152-75-2216,,社会医療法人恵和会,155280019,平日.土曜日,ただし、サービス提供時間は9時より移動開始、16時30分までに移動終了となる為そのサービス提供時間は訪問リハビリテーションサービスを提供する地域によって移動時間を考慮するものとする。,0,http://www.keiwakai.jp/amebiho/index.html,,,,
12084,155080039,北海道,北見市,医療法人社団煌生会　介護老人保健施設さくら,イリョウホウジンシャダンコウセイカイ　カイゴロウジンホケンシセツサクラ,訪問リハビリテーション,北海道北見市北光280番地6,,43.778747600000000,143.867806900000000,0157-68-1139,0157-68-1133,1460305000169,医療法人社団煌生会,155080039,平日,なし,,https://mintpia.jp/sakura/index.html,,,,
12076,174602615,北海道,帯広市,十勝勤医協帯広病院,トカチキンイキョウオビヒロビョウイン,訪問リハビリテーション,西9条南12丁目4番地,,42.917615100000000,143.192064300000000,0155-21-4111,0155-27-1168,6460105000414,医療法人十勝勤労者医療協会,174602615,平日,,,http://www.tokachi-kin-ikyo.or.jp,,,,
12076,154680011,北海道,帯広市,介護老人保健施設アメニティ帯広,カイゴロウジンホケンシセツアメニティオビヒロ,訪問リハビリテーション,帯広市西16条北1丁目27番地,,42.931158200000000,143.175049800000000,0155-36-1234,0155-35-6020,,医療法人社団刀圭会,154680011,平日,,,http://toukeikai.or.jp/,,,,
12025,111417424,北海道,函館市,ケアプラザ新函館・たけだクリニック,ケアプラザシンハコダテタケダクリニック,訪問リハビリテーション,北海道函館市宮前町２７番１１号,,41.790736000000000,140.738264300000000,0138-62-3100,0138-62-3060,,ケアプラザ新函館・たけだクリニック,111417424,平日,,10,http://care-plaza.jp/,,,,
12025,151480035,北海道,函館市,訪問リハビリテーション桔梗,ホウモンリハビリテーション　キキョウ,訪問リハビリテーション,函館市桔梗町５５７番地介護老人保健施設ジョイウェルス桔梗,介護老人保健施設ジョイウェルス桔梗,41.860445800000000,140.753513400000000,0138-46-8881,0138-46-8880,9440005000257,医療法人　聖仁会,151480035,平日,,9,http://www.seijinkai-mori.jp/,,,,
12025,111414157,北海道,函館市,訪問リハビリテーション稜北,ホウモンリハビリテーションリョウホク,訪問リハビリテーション,北海道函館市中道2丁目51-1,,41.812290000000000,140.762300600000000,0138-54-3161,0138-32-4330,7440005000275,医療法人道南勤労者医療協会,111414157,平日.土曜日,,125,https://ryohoku-h.hakodate.jp/honbu/,,,,
12025,01B1400014,北海道,函館市,訪問リハビリテーション絆,ホウモンリハビリテーションキズナ,訪問リハビリテーション,函館市桔梗1丁目14番1号,,41.830878400000000,140.727960400000000,0138-34-7707,0138-34-7708,3440005000238,医療法人社団向仁会,01B1400014,平日,,0,https://kojinkai1968.com/,,,,
12025,111418752,北海道,函館市,ベーネ函館リハビリ支援センター,ベーネハコダテリハビリシエンセンター,訪問リハビリテーション,北海道函館市石川町464番地1,,41.834581334243900,140.743699562041000,0138-34-3358,0138-47-5872,,ベーネ函館クリニック,111418752,平日.祝日,,,,,,,
12025,151480043,北海道,函館市,介護老人保健施設ケンゆのかわ（訪問リハビリテーション事業所）,カイゴロウジンホケンシセツケンユノカワ（ホウモンリハビリテーションジギョウショ）,訪問リハビリテーション,北海道函館市湯川町3丁目29番15号,,41.783592000000000,140.791138500000000,0138-59-1211,0138-59-3990,,社会福祉法人函館厚生院,151480043,平日.祝日,12月30日から1月3日,,https://ken-yuno.koseiin.or.jp/,,,,
12033,112013719,北海道,小樽市,医療法人社団　島田脳神経外科,イリョウホウジンシャダン　シマダノウシンケイゲカ,訪問リハビリテーション,北海道小樽市錦町1番2号,,43.205540080417600,140.997564700832000,0134-22-4310,0134-22-4324,,医療法人たんぽぽ会　島田脳神経外科,112013719,平日,お盆休み8月15日（改行）年末年始休業12月30日～1月4日,0,http://www.shimada-noushinkei.com,,,,
12033,112013438,北海道,小樽市,医療法人社団　三ツ山病院,イリョウホウジンシャダン　ミツヤマビョウイン,訪問リハビリテーション,北海道小樽市稲穂1丁目9番2号,,43.194047600000000,140.997192200000000,0134-23-1289,0134-24-0293,5430005007744,医療法人社団三ツ山病院,112013438,平日,,0,http://www.mitsuyama-hp.com/,,,,
12033,112014816,北海道,小樽市,医療法人社団　青優会　南小樽病院　訪問リハビリテーション,イリョウホウジンシャダン　セイユウカイ　ミナミオタルビョウイン　ホウモンリハビリテーション,訪問リハビリテーション,小樽市潮見台1丁目5番3号,,43.179252100000000,141.013102800000000,0134-21-2333,0134-21-2600,6430005008304,医療法人社団　青優会　南小樽病院,112014816,平日,なし,5,http://www.minamiotaru-hospital.com/,,,,
12033,152080024,北海道,小樽市,老人保健施設マイトリーおたる,ロウジンホケンシセツマイトリーオタル,訪問リハビリテーション,北海道小樽市奥沢1丁目2-2,,43.182915300000000,141.005788800000000,0134-21-2555,0134-21-2533,,医療法人双葉会,152080024,平日.土曜日,,,,,,,
12041,112918958,北海道,旭川市,忠和クリニック,チュウワクリニック,訪問リハビリテーション,北海道旭川市忠和5条6丁目17番地8,,43.773028100000000,142.320935100000000,0166-69-2500,0166-63-2252,8450005001783,医療法人社団元気会,112918958,平日.土曜日,,0,https://www.chuwa-clinic.com/,,,,
