都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
11070,150480093,北海道,札幌市西区,医療法人タナカメディカル　介護療養型老人保健施設　博友会,イリョウホウジンタナカメディカルカイゴリョウヨウガタロウジンホケンシセツハクユウカイ,短期入所療養介護（介護老人保健施設）,札幌市西区西野2条7丁目1番1号,,43.080509800000000,141.276595900000000,011-661-1850,011-666-7933,,医療法人タナカメディカル,150480093,,,,http://www.tanakamedical.net/hakuyu/,,,,
12122,156480022,北海道,留萌市,医療法人社団心優会　介護老人保健施設　季実の杜,イリョウホウジンシャダンシンユウカイ　カイゴロウジンホケンシセツ　キミノモリ,短期入所療養介護（介護老人保健施設）,留萌市開運町１丁目５番１号,,43.940317700000000,141.648216900000000,0164-43-4400,0164-43-4407,,医療法人社団　心優会,156480022,,,,http://www.shinyukai-r.or.jp/,,,,
12131,153680020,北海道,苫小牧市,老人保健施設　みどりの苑,ロウジンホケンシセツ　ミドリノソノ,短期入所療養介護（介護老人保健施設）,苫小牧市字樽前234番地の6,,42.595545000000000,141.426989700000000,0144-67-6820,0144-67-6821,,社会福祉法人　緑陽会,153680020,,,,,,,,
11088,150380046,北海道,札幌市厚別区,厚別老人保健施設ディ・グリューネン,アツベツロウジンホケンシセツ　ディ・グリューネン,短期入所療養介護（介護老人保健施設）,札幌市厚別区下野幌38-18,,43.039333000000000,141.502172800000000,011-898-5580,011-898-6760,,医療法人　東札幌病院,150380046,,,,http://www.d-grunen.com,,,,
12181,157280017,北海道,赤平市,介護老人保健施設　博寿苑,カイゴロウジンホケンシセツ　ハクジュエン,短期入所療養介護（介護老人保健施設）,北海道赤平市平岸新光町2丁目4番地,,43.542292800000000,142.117800400000000,0125-37-2001,0125-38-8382,,社会医療法人　博友会,157280017,,,,http://hakuyukai.or.jp/hakujuen,,,,
12131,153680087,北海道,苫小牧市,介護療養型老人保健施設かみや,カイゴリョウヨウガタロウジンホケンシセツカミヤ,短期入所療養介護（介護老人保健施設）,北海道苫小牧市桜木町２丁目２５番１号,,42.628119900000000,141.553838400000000,0144-71-1717,0144-71-2351,,医療法人社団苫仁会,153680087,,,0,http://www.mc-senjinkai.or.jp/,,,,
12041,152980108,北海道,旭川市,介護老人保健施設　ことぶき,カイゴロウジンホケンシセツ　コトブキ,短期入所療養介護（介護老人保健施設）,旭川市東旭川町上兵村35番地5,,43.780051400000000,142.438777100000000,0166-36-1940,0166-36-7320,,医療法人社団　旭川圭泉会病院,152980108,,,0,http://www.keisenkai.or.jp,,,,
12203,153280037,北海道,士別市,小規模老人保健施設　ボヌゥール,ショウキボロウジンホケンシセツ　ボヌゥール,短期入所療養介護（介護老人保健施設）,士別市東6条5丁目1番地,,44.177578300000000,142.400400800000000,0165-26-9033,,,医療法人社団　三愛会,153280037,,,,http://sanai-kai.or.jp/shisetsu_bonheur/satellite/,,,,
14257,157180027,北海道,上砂川町,上砂川町老人保健施設成寿苑,カミスナガワチョウロウジンホケンシセツセイジュエン,短期入所療養介護（介護老人保健施設）,北海道空知郡上砂川町字上砂川２２番地１６,,43.466681000000000,142.012511500000000,0125-62-5610,0125-62-4188,,上砂川町,157180027,,,0,http://www.town.kamisunagawa.hokkaido.jp/,,,,
15784,153680061,北海道,白老町,介護老人保健施設さくら（介護予防）短期入所療養介護,カイゴロウジンホケンシセツサクラ（カイゴヨボウ）タンキニュウショリョウヨウカイゴ,短期入所療養介護（介護老人保健施設）,字萩野７４番地,,42.515953900000000,141.300869400000000,0144-83-3127,0144-83-3128,,医療法人社団生田医院,153680061,,,83,ikutaclinic-2@blue.ocn.ne.jp,,,,
12220,156080020,北海道,三笠市,医療法人社団幾生会　介護老人保健施設　そらちの郷,イリョウホウジンシャダンイクセイカイ　カイゴロウジンホケンシセツ　ソラチノサト,短期入所療養介護（介護老人保健施設）,北海道三笠市岡山506番地8号,8号,43.239576387807600,141.803409975016000,01267-2-2116,01237-2-5738,6430005006687,医療法人社団幾生会,156080020,,,0,http://ikuseikai-hp.jp/,,,,
16624,154380034,北海道,厚岸町,厚岸町介護老人保健施設,アッケシチョウカイゴロウジンホケンシセツ,短期入所療養介護（介護老人保健施設）,北海道厚岸郡厚岸町住の江1丁目1番地,,43.057492000000000,144.847004300000000,0153-52-3145,0153-52-6137,5000020016624,厚岸町,154380034,,,,http://www.akkeshi-town.jp/byoin,,,,
16012,153880042,北海道,日高町,日高町立介護老人保健施設門別愛生苑,ヒダカチョウリツカイゴロウジンホケンシセツモンベツアイセイエン,短期入所療養介護（介護老人保健施設）,北海道沙流郡日高町門別本町２９番地の３,,42.480201100000000,142.069039700000000,01456-2-6611,01456-2-6600,,日高町,153880042,,,0,,,,,
12297,153010888,北海道,富良野市,介護老人保健施設　けんこう・ふらの,カイゴロウジンホケンシセツ　ケンコウ・フラノ,短期入所療養介護（介護老人保健施設）,富良野市末広町6番17号,,43.340398400000000,142.386508500000000,0167-56-8000,0167-56-8001,,医療法人社団　かわむら整形外科医院,153010888,,,0,http://kawamura-mgp.or.jp/kenkou-furano/,,,,
12084,155080039,北海道,北見市,介護老人保健施設さくら,カイゴロウジンホケンシセツサクラ,短期入所療養介護（介護老人保健施設）,北見市北光280番6号,,43.778783600000000,143.867901600000000,0157-68-1139,0157-68-1133,1460305000169,医療法人社団煌生会,155080039,,,0,http://www.mintpia.jp/sakura/,,,,
12173,151080074,北海道,江別市,介護老人保健施設葵の園・江別,カイゴロウジンホケンシセツアオイノソノ・エベツ,短期入所療養介護（介護老人保健施設）,北海道江別市⼤⿇南樹町１－１,,43.082395002795000,141.502622627789000,011-387-6655,011-387-6656,,葵新生会,151080074,,,0,http://www.aoikai.jp/,,,,
14028,152380028,北海道,岩内町,社会福祉法人渓仁会　介護老人保健施設コミュニティホーム岩内,シャカイフクシホウジンケイジンカイ　カイゴロウジンホケンシセツコミュニティホームイワナイ,短期入所療養介護（介護老人保健施設）,北海道岩内郡岩内町字野束69番地の26,,42.966714200000000,140.509876400000000,0135-62-3800,0135-62-3887,5430005000583,社会福祉法人渓仁会,152380028,,,,http://www.keijinkai.com/,,,,
15636,155180029,北海道,雄武町,雄武町立介護老人保健施設ハマナス,オウムチョウリツカイゴロウジンホケンシセツハマナス,短期入所療養介護（介護老人保健施設）,北海道紋別郡雄武町字雄武１４８２番地２,,44.582395000000000,142.956883000000000,0158-84-2517,0158-84-3443,,雄武町,155180029,,,0,http://www.town.oumu.hokkaido.jp/hospital/,,,,
12025,151480019,北海道,函館市,介護老人保健施設　グランドサン亀田,カイゴロウジンホケンシセツ　グランドサンカメダ,短期入所療養介護（介護老人保健施設）,北海道函館市石川町191番地4,,41.835860066082900,140.742938519049000,0138-46-3151,0138-46-9139,,医療法人亀田病院,151480019,,,0,http://www.hakodate-kameda-hp.com,,,,
12025,151480100,北海道,函館市,介護老人保健施設　もも太郎,カイゴロウジンホケンシセツ　モモタロウ,短期入所療養介護（介護老人保健施設）,函館市赤川町388番地1,,41.836295700000000,140.768502100000000,0138-47-5550,0138-47-5551,,社会福祉法人　函館厚生院,151480100,,,0,http://momo-taro.koseiin.or.jp/,,,,
12025,151480043,北海道,函館市,介護老人保健施設ケンゆのかわ（短期入所療養介護事業所）,カイゴロウジンホケンシセツケンユノカワ（タンキニュウショリョウヨウカイゴジギョウショ）,短期入所療養介護（介護老人保健施設）,北海道函館市湯川町3丁目29番15号,,41.783655000000000,140.791242100000000,0138-59-1211,0138-59-3990,,社会福祉法人函館厚生院,151480043,,,0,http://ken-yuno.koseiin.or.jp/,,,,
12041,152980058,北海道,旭川市,老人保健施設さくら館,ロウジンホケンシセツサクラカン,短期入所療養介護（介護老人保健施設）,旭川市４条西４丁目２番１号,,43.773734500000000,142.345804100000000,0166-27-0200,0166-27-0225,,医療法人社団慶友会,152980058,,,0,http://www.keiyukai-group.com/sakurakan,,,,
12068,154180020,北海道,釧路市,道東勤医協老人保健施設ケアコートひまわり,ドウトウキンイキョウロウジンホケンシセツケアコートヒマワリ,短期入所療養介護（介護老人保健施設）,北海道釧路市堀川町8番43号,,42.998455652534800,144.392615401189000,0154-24-1165,0154-23-7665,2460005000393,医療法人道東勤労者医療協会,154180020,,,0,http://dotokin-kaigo.com/,,,,
12076,154680029,北海道,帯広市,十勝勤医協老人保健施設ケアセンター白樺,トカチキンイキョウロウジンホケンシセツケアセンターシラカバ,短期入所療養介護（介護老人保健施設）,帯広市白樺１６条西２丁目,,42.918125032454900,143.174042419188000,0155-41-1165,0155-41-1161,,医療法人十勝勤労者医療協会,154680029,,,0,http://www.tokachi-kin-ikyo.or.jp/care-center/index.html,,,,
12106,155780018,北海道,岩見沢市,北村温泉ナーシングホーム,キタムラオンセンナーシングホーム,短期入所療養介護（介護老人保健施設）,北海道岩見沢市北村赤川５８６番地６３,,43.260346400000000,141.701321300000000,0126-56-2241,0126-55-3354,7430005005688,医療法人友愛会,155780018,,,0,http://www.kitamura-yuai.jp/,,,,
12122,156480014,北海道,留萌市,介護老人保健施設　サンライズ留萌,カイゴロウジンホケンシセツ　サンライズルモイ,短期入所療養介護（介護老人保健施設）,留萌市東雲町２丁目,,43.933193011515100,141.677586637048000,0164-43-1195,0164-43-1184,,優仁会,156480014,,,,,,,,
12050,153580014,北海道,室蘭市,介護老人保健施設エバーグリーンハイツ室蘭,カイゴロジンホケンシセツエバーグリーンハイツムロラン,短期入所療養介護（介護老人保健施設）,室蘭市八丁平１丁目４９番地,,42.366975600000000,141.007683500000000,0143-46-4500,0143-46-4501,,医療法人社団青雲会,153580014,,,,http://seiunkai.jp/,,,,
12246,151180015,北海道,千歳市,介護老人保健施設　クリアコート千歳,カイゴロウジンホケンシセツ　クリアコートチトセ,短期入所療養介護（介護老人保健施設）,北海道千歳市桂木1丁目5番7号,,42.819720561141100,141.624027630244000,0123-27-3232,0123-27-3207,8430005005877,医療法人資生会,151180015,,,0,http://www.siseikai.or.jp,,,,
16101,153880059,北海道,新ひだか町,新ひだか町介護老人保健施設まきば,シンヒダカチョウカイゴロウジンホケンシセツ,短期入所療養介護（介護老人保健施設）,北海道日高郡新ひだか町静内緑町4丁目5番1号,,42.338898200000000,142.374590400000000,0146-43-1100,0146-43-0260,,新ひだか町,153880059,,,0,,,,,
14001,152280012,北海道,倶知安町,介護老人保健施設　麓華苑,カイゴロウジンホケンシセツ　ロッカエン,短期入所療養介護（介護老人保健施設）,北海道虻田郡倶知安町南3条東5丁目1番地2,,42.899432700000000,140.762161700000000,0136-22-0003,0136-22-0288,,医療法人社団　白樺会,152280012,,,0,http://www.shirakaba-group.jp,,,,
14249,157180043,北海道,奈井江町,介護老人保健施設「健寿苑」,カイゴロウジンホケンシセツ「ケンジュエン」,短期入所療養介護（介護老人保健施設）,北海道空知郡奈井江町字奈井江12番地9,,43.426000400000000,141.883176800000000,0125-65-5232,0125-65-2149,2430005013092,社会福祉法人日本介護事業団,157180043,,,,,,,,
16675,154380042,北海道,鶴居村,介護老人保健施設えんれい荘,カイゴロウジンホケンシセツエンレイソウ,短期入所療養介護（介護老人保健施設）,北海道阿寒郡鶴居村字雪裡原野北２２線西１１番地,,43.272728506910400,144.325840111639000,0154-64-2126,0154-64-2669,8430005005877,医療法人資生会,154380042,,,,http://www.siseikai.or.jp/enreiso/,,,,
14591,153180039,北海道,美瑛町,美瑛町老人保健施設ほの香,ビエイチョウロウジンホケンシセツホノカ,短期入所療養介護（介護老人保健施設）,北海道上川郡美瑛町東町３丁目７０１番３,,43.588887148207700,142.474844823248000,0166-92-1511,0166-92-1303,5450005002025,社会福祉法人　美瑛慈光会,153180039,,,0,,,,,
15148,156780041,北海道,枝幸町,介護老人保健施設うたのぼり,カイゴロウジンホケンシセツウタノボリ,短期入所療養介護（介護老人保健施設）,北海道枝幸郡枝幸町歌登南町４０３番地,,44.838316200000000,142.478321200000000,0163-68-2341,0163-68-3309,,枝幸町,156780041,,,0,http://esashi-hospital.jp/,,,,
15199,156780033,北海道,利尻富士町,利尻島老人保健施設,リシリトウロウジンホケンシセツ,短期入所療養介護（介護老人保健施設）,北海道利尻郡利尻富士町鬼脇字金崎３３２番地,,45.131270800000000,141.304539100000000,0163-89-3216,0163-83-1472,,利尻富士町,156780033,,,0,,,,,
15431,155280019,北海道,美幌町,社会医療法人　恵和会　介護老人保健施設　アメニティ美幌,シャカイイリョウホウジン　ケイワカイ　カイゴロウジンホケンシセツ　アメニティビホロ,短期入所療養介護（介護老人保健施設）,北海道網走郡美幌町字仲町二丁目三十八番地の二,,43.832639200000000,144.105174700000000,0152-75-2210,0152-75-2216,7430005001448,社会医療法人　恵和会,155280019,,,0,http://www.keiwakai.jp/amebiho/index.html,,,,
15555,155480015,北海道,遠軽町,介護老人保健施設　プライム　いくたはら,カイゴロウジンホケンシセツ　プライム　イクタハラ,短期入所療養介護（介護老人保健施設）,北海道紋別郡遠軽町生田原伊吹6番地1,,43.905725900000000,143.530622200000000,0158-45-2600,0158-45-2601,,医療法人　交雄会,155480015,,,0,http://koyukai-g.jp/puraimu/,,,,
