都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
12131,113613087,北海道,苫小牧市,医療法人社団苫仁会神谷病院,イリョウホウジンシャダンセンジンカイカミヤビョウイン,短期入所療養介護(療養病床を有する病院等）,苫小牧市桜木町２丁目２５番1号,,42.628119900000000,141.553838400000000,0144-71-2351,0144-71-2551,,医療法人社団苫仁会,113613087,,,,http://www.me-senjinkai.or.jp,,,,
11029,110214947,北海道,札幌市北区,医療法人社団　札幌百合の会病院,イリョウホウジンシャダンサッポロユリノカイビョウイン,短期入所療養介護(療養病床を有する病院等）,札幌市北区百合が原１１丁目１８６番地,,43.131936900000000,141.367518200000000,011-771-1501,011-771-0865,,医療法人社団　札幌百合の会病院,110214947,,,,http://www.yurinokai.jp,,,,
11070,110415387,北海道,札幌市西区,平和病院,ヘイワビョウイン,短期入所療養介護(療養病床を有する病院等）,札幌市西区平和２条１１丁目２番１号,,43.056973200000000,141.243638400000000,011-662-2525,011-662-2749,,医療法人社団　静和会,110415387,,,,http://www.seiwa-kai.or.jp/heiwa-hosp,,,,
12025,111410346,北海道,函館市,社会医療法人　高橋病院,シャカイイリョウホウジン　タカハシビョウイン,短期入所療養介護(療養病床を有する病院等）,北海道函館市元町32番18号,,41.765393400000000,140.712117300000000,0138-23-7221,0138-27-1511,,社会医療法人　高橋病院,111410346,,,,http://takahashi-group.jp,,,,
12025,111416160,北海道,函館市,医療法人聖仁会　森病院,イリョウホウジンセイジンカイ　モリビョウイン,短期入所療養介護(療養病床を有する病院等）,北海道函館市桔梗町５５７番地,,41.860445800000000,140.753513400000000,0138-47-2222,0138-47-2200,,医療法人　聖仁会,111416160,,,,http://www.seijinkai-mori.jp,,,,
12041,112914890,北海道,旭川市,医療法人社団はらだ病院,イリョウホウジンシャダンハラダビョウイン,短期入所療養介護(療養病床を有する病院等）,北海道旭川市１条通１６丁目右７号,,43.761400700000000,142.372401800000000,0166-23-2780,0166-25-7893,,医療法人社団はらだ病院,112914890,,,,http://www.ahmic21.ne.jp/harada.hp/,,,,
12289,117411306,北海道,深川市,深川第一病院,フカガワダイイチビョウイン,短期入所療養介護(療養病床を有する病院等）,深川市あけぼの町１番１号,,43.741404800000000,142.035457900000000,0164-23-3511,0164-22-7176,,医療法人アンリー・デュナン会,117411306,,,,http://www.henry-dunant.or.jp,,,,
15849,113711121,北海道,洞爺湖町,洞爺温泉病院,トウヤオンセンビョウイン,短期入所療養介護(療養病床を有する病院等）,虻田郡洞爺湖町洞爺町５４番地４１,,42.656879300000000,140.829780900000000,0142-87-2311,0142-87-2260,,医療法人社団　洞仁会,113711121,,,,http://www.toya-onsen-hospital.or.jp,,,,
15857,113611081,北海道,安平町,医療法人同和会　追分菊池病院,イリョウホウジンドウワカイ　オイワケキクチビョウイン,短期入所療養介護(療養病床を有する病院等）,北海道勇払郡安平町追分本町１丁目４３番地,,42.877185100000000,141.812102800000000,0145-25-2531,0145-25-2239,,医療法人同和会　追分菊池病院,113611081,,,,http://www.akai-himawari.or.jp/,,,,
15750,113710826,北海道,壮瞥町,医療法人交雄会　そうべつ温泉病院,イリョウホウジンコウユウカイ　ソウベツオンセンビョウイン,短期入所療養介護(療養病床を有する病院等）,有珠郡壮瞥町字南久保内１４６－１２,,42.575406900000000,140.963703100000000,0142-65-2221,0142-65-2739,,医療法人交雄会,113710826,,,,http://www.koyukai-g.jp/soh/,,,,
12173,111013686,北海道,江別市,医療法人社団親寿会　池永クリニック,イリョウホウジンシャダンシンジュカイ　イケナガクリニック,短期入所療養介護(療養病床を有する病院等）,文京台東町１１－２４,,43.071251800000000,141.496019300000000,011-387-1111,011-386-3853,,医療法人社団親寿会　池永クリニック,111013686,,,0,,,,,
16675,114311079,北海道,鶴居村,つるい養生邑病院,ツルイヨウセイムラビョウイン,短期入所療養介護(療養病床を有する病院等）,北海道阿寒郡鶴居村字雪裡原野北２２線西１１番地,,43.272658600000000,144.325843200000000,0154-64-2321,0154-64-2669,,医療法人養生邑,114311079,,,,http://www4.ocn.ne.jp/~yousei/,,,,
