都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
12335,01B3700015,北海道,伊達市,介護医療院　北湯沢温泉いやしの郷,カイゴイリョウイン　キタユザワオンセンイヤシノサト,短期入所療養介護（介護医療院）,北海道伊達市大滝区優徳町159番地,,42.640213552238300,141.040805163754000,0142-68-6331,0142-68-6663,8430005009754,社会医療法人慈恵会,01B3700015,,,1,http://www.jikeikai.or.jp,,,,
14087,01B2500010,北海道,余市町,医療法人社団倫仁会　介護医療院こじま短期入所療養介護,イリョウホウジンシャダンリンジンカイ　カイゴイリョウインコジマタンキニュウショリョウヨウカイゴ,短期入所療養介護（介護医療院）,北海道余市郡余市町黒川町7丁目13番地,,43.186816900000000,140.792005900000000,0135-2-2245,0135-22-2551,,医療法人社団倫仁会,01B2500010,,,,http://rinjinkai.or.jp/,,,,
32018,03B0100019,岩手県,盛岡市,介護医療院おいかわ内科クリニック,カイゴイリョウインオイカワナイカクリニック,短期入所療養介護（介護医療院）,岩手県盛岡市上田1丁目18番46号,,39.711036000000000,141.140857000000000,019-622-7400,019-652-3373,7400005005575,医療法人天音会,03B0100019,,,,http://www.o-med.net,,,,
44016,04B2600015,宮城県,松島町,松島病院介護医療院,マツシマビョウインカイゴイリョウイン,短期入所療養介護（介護医療院）,宮城県宮城郡松島町高城字浜1番地26,,38.378261200000000,141.070167700000000,022-354-5811,022-354-5153,,医療法人　友仁会,04B2600015,,,,http://www.matushimahosupital.com/kaigoirouin/,,,,
72028,07B0200013,福島県,会津若松市,介護医療院　さくら,カイゴイリョウイン　サクラ,短期入所療養介護（介護医療院）,福島県会津若松市宮町１-１,,37.495177900000000,139.933561800000000,0242-22-4075,0242-22-4078,,公益財団法人　穴澤病院,07B0200013,,,,http://www.sakura-anazawa.jp,,,,
72036,07B0300029,福島県,郡山市,寿泉堂香久山病院　介護医療院,ジュセンドウカグヤマビョウイン　カイゴイリョウイン,短期入所療養介護（介護医療院）,福島県郡山市香久池一丁目18番11号,,37.381651100000000,140.370238000000000,024-932-6368,024-922-7178,,公益財団法人　湯浅報恩会,07B0300029,,,,http://www.jusendo.or.jp/kgy,,,,
72036,07B0300037,福島県,郡山市,郡山市医療介護病院介護医療院,コオリヤマシイリョウカイゴビョウインカイゴイリョウイン,短期入所療養介護（介護医療院）,福島県郡山市字上亀田１番地の１,,37.408525200000000,140.345839100000000,024-934-1240,024-934-1070,7380005002492,一般社団法人郡山医師会,07B0300037,,,,http://bigheart-hp.net/,,,,
72044,07B0400035,福島県,いわき市,呉羽総合病院介護医療院　短期入所療養介護,クレハソウゴウビョウインカイゴイリョウイン　タンキニュウショリョウヨウカイゴ,短期入所療養介護（介護医療院）,福島県いわき市錦町落合1番地1,,36.899914200000000,140.782551700000000,0246-62-8505,0246-63-0552,4380005005762,社団医療法人呉羽会,07B0400035,,,,https://www.kureha-hosp.jp/,,,,
82155,08B1500014,茨城県,北茨城市,瀧病院　介護医療院,タキビョウイン　カイゴイリョウイン,短期入所療養介護（介護医療院）,茨城県北茨城市磯原町磯原2-305,,36.791152200000000,140.739804200000000,0293-42-1221,0293-42-1223,4050005007412,医療法人芳医会,08B1500014,,,,http://www.takih.jp/,,,,
82171,08B1700010,茨城県,取手市,にしまぎ介護医療院,ニシマギカイゴイリョウイン,短期入所療養介護（介護医療院）,戸頭1-8-21,,35.919031900000000,140.012922900000000,0297-78-3365,0297-86-6052,3050005008782,医療法人　西秀会,08B1700010,,,0,https://nishimagi-hospital.com/,,,,
